index,content,NER,time
33,,the@@ ther this might never een get pa@@ se because traditionally what happens in our i do n't no y novel@@ lize international fans i just saw in my latest ask te episode that forty-@@ five percent of my viewers are actually international which huge ven know that@@ @@ tin the when typically happens as when they tre@@ dito @@ pass all of a sudden some@@ on@@ tried to ack something else on@@ o@@ the so you@@ 'll have a built for this like this and@@ the@@ till say y@@ eb@@ we have to make sure that in indi@@ ana it@@ 's illegal to fuk coats because t@@ ere was a guy@@ li@@ se@@ fi dat@@ fuk to o and we got stock those dirty gol@@ t@@ fun@@ kers so wer@@ er to@@ put an amendment on the that is an indi@@ ana it@@ 's illegal to fun@@ kl go@@ an@@ sometimes yo just,
34,,wha@@ tt@@ e@@ funct does ot have to do with the bill at hand@@ and they do alot of times these bills cause they tri@@ so much done at want the@@ 'll put forty things on the bill and only two of overly are related and the re@@ sto@@ o bunch a ship@@ is what happens in the in@@ @@ legal e not @@ @@ @@ government is the great govern@@ ment@@ so any@@ way@@ that might hold up any@@ kind of decision that would be made about this bill,
35,,arm,
36,,i really do n't for@@ see that the bill its pass anytime soon traditionally these hen@@ det@@ ings take a while there gonna argue on each side there en a hal@@ sh@@ -out the builder and try to change it a little bit,
37,,what i@@ 'm really am hoping is that people hear people like mee@@ x@@ pla@@ ining to the over@@ nal@@ is@@ n this is not right what you@@ 're doing is a blanket law that@@ '@@ is actually going to hinder business,
38,,and,
39,,basically shut down freedom of information on the you@@ are basically going to go back to the@@ dark ages before the existed because you@@ 're making a law that@@ 's were@@ into @@ @@ fit a very few little small@@ businesses that were r@@ nam@@ ic movies and films and you@@ 're fuc@@ ting over a completely new industry that was created by the inter@@ net@@ so@@ yet have to think before you ac you@@ have to think before you pas@@ se this bill it needs to be amended or changed before its pas@@ se in its current form,
40,,now@@ wha@@ l can you@@ as an individual if you are u@@ f@@ citiz@@ en@@ you have the right to help o@@ you can write your person plain@@ id@@ on@@ 't believe that this bill is correct in its current form im@@ not that i-@@ supporting piracy or anything like anyway but@@ is going to negatively affect lots of different things that have happened people will be li@@ ssing kar@@ io@@ ki songs on un@@ ter@@ net anymore people w@@ vr be able o overview of a video game fe@@ o@@ wil will be able to do so many things th@@ ath@@ ave helped business ay,
41,,and you can write youre congre@@ ssmen or wha i@@ 'm going@@ todo link in this video@@ where you can go and you can actually straight from there put in your personal information and send it off@@ cn@@ send automatically to certain places in the certain people and people who ware trying to push for this bill ad@@ you can write your own mess@@ agers already look at the full mess@@ anger saying i do n't support the bill or you co@@ and write your own ar@@ say listen@@ you no@@ @@ is not right it makes no-@@ sense in its current form you@@ 're actually going to hurt things that you do n't understand your hurting because you do n't know enough about this you@@ '@@ are not educated enough about the subject to pass this bill as it is,
42,,so@@ just ry@@ r fan@@ @@ rt@@ and that@@ 's why your doing it but thi@@ is an important issue if you have friends w@@ fan@@ @@ wit@@ to know show@@ video we need to get topic out there now wh@@ fresh while its new wh@@ il@@ @@ iter@@ just happening now@@ do n't let it wait six months and the end of the year guess what guys were passing the bill and then for six months no one can put st@@ of@@ an@@ ero because the government completely fl@@ ucked up and@@ hen of course it@@ 'll probably get overturned but it will take forever to get overturn it@@ sul be another euro@@ legal battle,
43,,i can imagine i can@@ not imagine,
44,,them actually cen@@ soring the internet like this but @@ is what they@@ 're looking o@@ there actu@@ ly lo@@ completely sensor things on the internet which is so ridiculous sh@@ does@@ n't belong i mean@@ sing again people should be ste@@ eling and uploading movies of videos but@@ when you buy a video game you are purchasing a license,
45,,play a piece of sof@@ tw@@ ar@@ eyou@@ 're not purchasing the software so if you@@ 're uploading the actual game@@ files inter@@ net@@ you deserve t@@ but if you@@ 're just playing the game and ou record your interactive experienced with that gam@@ eyou@@ re input created at experience that is at@@ rans@@ formative work@@ is protected under you as copyright law@@ the problem is no@@ one@@ 's talking about hs right now@@ @@ eally icon@@ gress understanding that@@ and the way the laws fur@@ t@@ right out it will not protect at anymore an people run@@ aa@@ it scre@@ companies are gon against inter@@ nets nat r@@ wo@@ we need@@ really has a community talk about his get to discussion going@@ tell your parents about it till your friends about@@ it till your family about@@ it everyone involved ins d we@@ half te all@@ coll@@ ec@@ tiv@@ ely@@ speak we@@ ont if we just sit here and were lazy and@@ nev@@ ey compl@@ ec@@ ent let i@@ lo@@ ey@@ thi@@ is how@@ f do@@ hh@@ o goes wrong in our government people just bea@@ kn sitting youre compl@@ ec@@ ent@@ an@@ speaking up and not trying to take a s@@ every@@ on eeds to do@@ if you@@ 're m this kind of stop you need to speak up if you do n't wo@@ the un@@ ter@@ net to be completely sen@@ sored like this you need to speak do ome@@ ing link this video you can do something you can personally contact your own congre@@ ssmen,
46,,and talk about it but it needs to be brought up and it needs to be understood i just i dot,
47,,feel negatively ab@@ ow,
48,,the or the congre@@ ss@@ in ol vo@@ voting on the bill i do n't feel negatively about them i jus@@ think they@@ 're mis@@ inform i think that their intentions are in the right place they do n't want people stealing t@@ @@ movies and uploading into the inter@@ @@ wor@@ streaming and for free over the internet that@@ 's not right but at the flip@@ site of it they need to understand that repercussions of their actions for passing the bill@@ @@ 's current form are going to negatively hurt,
49,,information business its going to be a disaster so please,
50,,ease plea@@ dings speak up,
51,,say something@@ tele@@ fron tl@@ relative spread the word get everyone talking about this and get them to go and talk to their c u h@@ do n't fu@@ is not we need t@@ stand right now and say@@ dis@@ bil@@ d needs to be amended so make sense for what you@@ 're really trying to do because not all copy@@ @@ ghted or what you@@ 're thia lot of variation in what a copy@@ @@ ghted is not all just an un@@ changing tv show there@@ ' things that are completely differ@@ ent@@ youn@@ o nos really copy@@ @@ ghted in a video game the software itself not te experience so when you say ok a public display of a copy@@ @@ ghted work@@ the public display would be if it@@ ur@@ ned on of computer monitor ha@@ eco@@ ding for the gam@@ eac@@ tual coding lines of the game if i publicly displayed that would be a violation of this law but would he@@ ire not understanding is that,
52,,the situation where if you@@ 're playing again actual broadcast of that is a trans@@ formative work@@ his needs to@@ be fl@@ esh@@ ed out for lo@@ gets past irls bel@@ ont people or@@ gun against,
53,,sorry to be like al@@ arm@@ is bu@@ @@ 'm not a wash@@ dog or anything like that bu gs couple messages about this already the@@ more i look into it then i read ultra@@ @@ @@ le @@ un@@ like@@ @@ is u@@ @@ is our time as to exercise our right to speak to our govern@@ met say absolutely this ow@@ that we want and by the way it@@ 's not fair it@@ 's can be harmful to business thats can be harmful to a lot of different things and@@ you@@ 're not doing what you@@ 're int@@ ending wo@@ ith this law on its current form,
54,,all right that@@ 's it again please please i@@ 'm very serious about this you ha@@ f to tell people get pe@@ o@@ ble to-@@ watch this video get people talking about the subject get people to write use the link@@ tal o@@ ever you need to and your own government in,
55,,let@@ 's si let@@ 's get this awareness out@@ dear and let@@ 's make this happen right thanks allot,
